X2099 X2516 X147741 X3172 X7757 X55713 X57573 X282890 X7710 X147948 X2494 X3726 X7003 X80095 X7711 X90233 X7556 X79898 X284370 X4088 X55663 X59348 X80110 X284306 X7771 X126070 X7562 X9668 X147694 X27300 X80818 X79718 X10781 X9422 X7767 X148156 X7566 X7773 X92285 X148254 X148103 X10308 X22869 X339559 X7581 X7596 X55659 X147923 X7565 X6940 X9440 X905 X93134 X57209 X7752
TCGA-BH-A0HW 21.3986525588701 9.11708160507108 8.40166584225985 3 7.1735542096518 9.33213650105688 16.3235215793805 16.2700095479288 12.4742436770898 15.0735778224346 14.2139248616639 18.8197838366785 16.795843672424 16.5482718445804 15.1164650711662 15.8073595932608 16.312871903822 16.4049073036265 16.5086677795014 18.3036201361152 16.1948731967678 17.2083231939078 15.6341873728211 15.7480330352878 15.8459356211615 16.0335469156859 15.7117712152013 15.8996171311279 16.7583468076916 17.5600512758495 17.6420519604427 19.3197138589583 16.9812268778259 16.8280928728473 15.6995911740344 16.7137798444013 15.518914015726 14.9713382892298 16.3677445576999 14.6446954912401 15.8965655025298 15.3290464358485 16.4285344461139 15.4996095612579 17.516564017346 16.5990487878655 16.2759746467727 16.9808785948898 15.3520787608601 16.7436891170441 16.5047067601735 16.8523004682019 17.5140848496329 15.860326720575 15.0380714563094
TCGA-BH-A18S 20.7449745833931 3 3 3 10.2589634602595 10.5307750298432 14.8450909885216 15.6931172909003 15.5955514567046 15.7087140081993 12.7468841381055 20.8695969996749 16.4378174365406 16.2791047913576 14.8899627341945 15.7404025368255 15.3645271471021 16.1784743027536 16.5019966335498 17.162522558822 16.3772497360461 16.5703141058407 15.8665909251256 14.3910123550684 16.0179654844078 15.6475309623813 15.7407450794708 15.8099868973832 16.5379720449939 17.3073675640938 18.0223530727758 18.8829479851994 16.9315123527741 16.5871519147066 15.1097812713655 15.8082307509288 15.8508839651104 14.7410434447551 16.4295368498339 15.0039020386915 14.4449342800065 15.4768232792805 16.8614806071598 16.2042638087553 18.0061650879134 17.1268882199964 16.5450252876284 16.9056950397875 15.9101290775331 16.8349093384089 16.2934759600668 16.8590639124483 17.5010659908505 15.0666864368705 15.2175081868872
TCGA-D8-A27E 22.0525823798278 11.8024117832389 6.85178449099549 3 9.07887324873038 15.0505976991962 15.4791023772783 14.7898562089981 15.5486523932274 15.3123420781979 13.6522024561365 19.7645597285727 17.3395759286557 15.9480884269698 14.5032364606424 16.0475052991772 15.8788488078891 15.7065330177474 16.5184393616682 17.6219226361042 16.0467989151322 16.5726642024077 15.8703451796948 14.1791464013463 15.7365512518877 16.0162334530832 15.6435774827546 15.7180752682703 16.12078872784 17.2147075331346 18.1455016479597 18.516486716159 16.8202695081127 16.5335538105439 15.165238012387 15.617186602938 16.6142230011711 14.5634557564036 15.9426431683782 14.9513873250838 14.6042100563976 15.1763509055008 16.7604930394653 15.62958011512 17.9612745575466 16.7796529349799 16.0528979321515 16.4497389305841 15.3008764995215 16.4611536671874 15.9915895849985 16.9183445533505 17.2857080177681 15.5120280506922 14.7035672770349
TCGA-E2-A1IH 19.3236602660338 7.67762114412484 7.93891736052694 7.89609957393965 12.1569654259073 11.7066175410663 13.9691437938643 15.0227136793389 14.0260587926848 14.6342434894248 15.0676848601025 21.3527969238031 17.1419458292875 15.6853428762936 14.222002939952 15.3422085832749 15.9278108897212 15.6549500800593 15.84274132411 16.6874256978532 14.9286794750401 16.2014204513153 15.6808526452842 14.9177664004976 14.6656115674022 16.0238677966613 15.7548746196919 15.5787132785222 16.1933273579759 15.9514061168658 17.7113439209378 19.1732320326615 16.6392372970231 16.441464492137 15.3771683524503 15.9622445710169 16.3968261167027 14.6771418910028 15.9927049553214 14.2023462227523 14.3621384277901 16.8857153523725 15.4875789445919 15.9074815309293 17.4225591492189 16.0379992552094 15.6234409822551 16.3511642809597 15.6435540565503 17.1304112179769 15.636491770618 17.0913888773062 17.3529811091714 15.5504566387631 14.9665700459315
TCGA-A8-A091 20.5931239036528 6.28289838444516 6.52827176161567 6.19774828062998 14.2150167193064 11.1714795730151 15.9193146274676 14.9487321264122 13.5827818196379 14.8475609163006 13.5037673508243 18.7927243660654 17.2033128849563 16.128736777758 14.8208224147996 15.2735335222646 14.780324509208 15.3872174579827 15.9447130954686 18.5225017898271 16.0847688002897 16.1795694288108 15.2187778253782 14.6628516674956 15.671690362162 15.8924517138698 15.8247761194084 15.6667168932906 16.3195523697964 16.639769983758 18.0129418107699 18.781983742713 16.6142967560345 16.9172167253318 15.0052666629371 16.5061809210983 16.2837352040425 14.5253777262368 15.8499834975287 15.2547029167598 15.5195164189235 15.9767146800219 16.0963763459684 15.2133119773116 17.833994871342 16.5959652681446 15.886890413843 16.6671350541776 15.2475172283779 16.3838795767474 15.4516671202573 17.2300620104623 16.7523389026395 15.8898908824449 15.5630211945705
TCGA-A2-A04W 13.6816471280196 3 3 3 11.1863709482899 13.382220279535 15.571220371946 11.1291162027203 14.7691827683219 15.2371271419266 12.2903129191961 22.5055223597195 17.0087366225063 16.090723163796 14.1600318311579 16.3085456989346 15.0983287698734 15.9404735744649 16.559787448437 17.3204144362304 15.2512564332237 17.1850371638243 15.9525036378278 14.8226961428704 15.3813050251183 15.1912503473083 15.2723572112181 16.6937382264698 16.6669738099046 16.8389850279215 18.6786820766858 18.3538557943393 16.4423456609537 16.9526752117257 14.7443135226069 15.1103604240074 15.6325160469779 14.6861727509523 14.3586591972868 13.633567600601 13.6123633386583 15.5236978303276 14.9075235842749 14.2077005129276 16.9050903298682 15.4975100759737 16.1670645339043 15.2589208903357 15.5044041479031 15.8468234463594 15.7399610724037 16.0976571913954 16.8947433749726 15.3658943179286 14.9935372885086
TCGA-D8-A1X5 21.2477066787382 3 3 3 9.56459689026168 11.1826993145998 12.5358086183182 16.3004866068912 13.4224147472849 12.0350047741721 11.7620089253723 21.5752059784905 17.6763763413032 15.6479255119603 14.0706099850312 14.7482633035905 12.4675045431643 15.3616084666248 16.2122927279668 17.3416617453133 15.2845194169898 16.4768081406117 15.750409088242 12.918541356407 15.5218487235764 16.386410300309 15.3321155344105 15.5172359955986 15.8840506798832 16.5135019953828 17.3083626760946 19.73945366207 17.1110584193924 15.6463689970789 14.196323906064 15.7241501356544 15.8826180573695 13.8878156216153 15.5386658955902 13.8553453281409 13.982066953969 16.3334775966202 15.6280900405337 13.4564001801475 17.9494274463779 16.6769405969661 14.922577801435 16.1560295086639 14.7913196910873 16.4677496559577 15.3946385401924 17.0204724988186 16.9288989742313 15.7319340719403 15.2254127546842
TCGA-BH-A5J0 19.9690109684144 8.80359463923038 8.49588076790184 8.71012705624578 10.1051359985877 13.1319493305976 13.934142723535 15.1397208499481 14.1542325752077 14.9515318897231 12.3182611016681 21.2641336697326 15.1733256497814 15.2710861781143 13.2677736811914 14.3978581834345 14.324373058691 17.0835712465886 16.074126448088 17.3701373432831 16.4245580330569 17.3454358833811 15.5421094010411 14.3027888083109 14.5076107876191 15.9327034669225 14.5595768938853 16.2206791719523 15.3588466417334 16.1504731173553 17.2270681040494 18.7507879625282 16.6907737562699 15.4390643589689 14.8940432629422 14.8206973456824 16.0738213216651 14.3791454045563 14.9208772999811 14.0459113598026 14.5069989153818 15.2763535538231 14.9176401758205 15.3661619745914 16.7661490739588 15.4727005045057 15.7957792247134 15.4750897479668 14.4314702542852 16.5220259829943 15.6791098435189 15.6597613687849 16.3565982105412 14.2821758330433 14.9530500251294
TCGA-A2-A1G1 13.631448800369 6.51118338426247 8.99447268590013 7.66353309748812 10.0288607062123 12.5056035400212 13.0512424907395 11.2460305254558 12.7390668801322 12.7330573814799 12.9715460329305 19.4463869903124 17.8294270508515 14.8990634207624 14.1208615366455 15.1946056308301 14.8736568409694 15.3030048879032 14.397211742074 16.1193822381825 13.8206386032934 15.5028497006542 15.6424428886692 13.6856769276321 14.9944738029922 15.6015377791822 16.4793553327402 15.4179965929301 15.614484792077 16.6512810225041 17.5056131321266 18.9065811398542 17.6158166393432 15.8807368170613 14.291322594563 16.5508379592524 15.9029107559969 13.5923922571128 16.0803568484226 13.8995948047327 12.8982155924161 17.7475558952717 16.1065700222343 15.0089814371541 18.1238228423976 15.7015988184777 15.2647856289071 16.3778788654036 14.4125486336009 17.7977457378632 16.859411004312 16.7282392855974 17.7061042132833 15.2553946050775 15.4964514605109
TCGA-A8-A097 20.0855442901659 8.32070730404346 7.61523115262518 10.8390915760316 11.3498279623561 12.8282125246043 13.1563121405648 16.554290222853 13.1970225937521 13.2932588855799 13.0610088976382 20.2172552914253 17.5748574419118 15.629421224827 14.8333596143709 15.0087946145567 12.7803096172324 15.5489800464322 15.8936911608059 17.7721707973365 15.9169856208294 16.0727701388744 14.9294678150323 14.1786930770153 15.4280258496495 15.5512579326857 15.32184814747 16.0218105531615 16.8179150257156 15.6442199083973 17.4120180326297 18.7577375854625 16.3617179277926 16.4287323293445 15.2571764741468 15.412310816862 16.0458675392813 14.7860476503983 15.6358856414212 14.2080474567452 14.8241325119775 16.1309712484774 15.7729657380213 15.1411173876393 17.2239047082962 16.8057628291482 15.8724000292554 15.9532751672389 15.1506223755216 16.2396725833129 15.6831082314479 16.3259437379402 16.5809371891517 15.3944355661752 15.4712809434102
TCGA-C8-A130 18.9496371590638 11.3644384901784 3 6.84530060223475 12.4036394281801 12.1920930060806 15.3965706844362 14.7962759508621 12.8535313702713 15.6650547045159 14.1935987320678 19.3436007783485 15.9406883325072 15.8699559166743 13.9427382632558 15.0019720267422 16.1356995033425 15.3139943451105 15.5673045885256 17.1695787324236 16.4893393802927 15.8906270761461 15.3155062601874 15.5479469147157 15.2259452303827 15.9357994097406 16.1895309897734 15.6207969980604 16.3811427044126 17.3473548708359 18.0064164307026 19.2942037957627 16.6584417882937 16.6755645925067 15.11841539869 15.2118253308844 16.9064006878253 14.1017532272204 15.5491401076819 13.5152131503653 14.7081644291959 15.7118704680021 15.3989052563869 15.3918292298455 17.0315870062982 16.0212636014935 15.8510099103069 15.8723794768283 15.4879859966354 16.7987006282267 15.9151860780104 16.7047134124786 16.9951394657321 15.4957304683222 15.3362823678475
